Year;Country_Name;Country_Code; Remittance_USD
2008;Afghanistan;AFG;0,089540436
2009;Afghanistan;AFG;0,140695166
2010;Afghanistan;AFG;0,378206657
2011;Afghanistan;AFG;0,179116561
2012;Afghanistan;AFG;0,219416087
2013;Afghanistan;AFG;0,347165292
2014;Afghanistan;AFG;0,253367822
2015;Afghanistan;AFG;0,348624717
2016;Afghanistan;AFG;0,627710802
2017;Afghanistan;AFG;0,822731630
2018;Afghanistan;AFG;0,803546454
2019;Afghanistan;AFG;0,828571904
2020;Afghanistan;AFG;0,788917115
1976;Bangladesh;BGD;0,018761274
1977;Bangladesh;BGD;0,078875038
1978;Bangladesh;BGD;0,115435371
1979;Bangladesh;BGD;0,171138702
1980;Bangladesh;BGD;0,338666748
1981;Bangladesh;BGD;0,381052155
1982;Bangladesh;BGD;0,526463684
1983;Bangladesh;BGD;0,642408508
1984;Bangladesh;BGD;0,500747406
1985;Bangladesh;BGD;0,502471375
1986;Bangladesh;BGD;0,576282471
1987;Bangladesh;BGD;0,747808899
1988;Bangladesh;BGD;0,763622131
1989;Bangladesh;BGD;0,757979553
1990;Bangladesh;BGD;0,778865601
1991;Bangladesh;BGD;0,769365723
1992;Bangladesh;BGD;0,911759949
1993;Bangladesh;BGD;1,007375061
1994;Bangladesh;BGD;1,150881226
1995;Bangladesh;BGD;1,201664267
1996;Bangladesh;BGD;1,344661209
1997;Bangladesh;BGD;1,526499544
1998;Bangladesh;BGD;1,605786652
1999;Bangladesh;BGD;1,806794192
2000;Bangladesh;BGD;1,967528858
2001;Bangladesh;BGD;2,104551469
2002;Bangladesh;BGD;2,858057770
2003;Bangladesh;BGD;3,191664732
2004;Bangladesh;BGD;3,583817228
2005;Bangladesh;BGD;4,314502846
2006;Bangladesh;BGD;5,427515429
2007;Bangladesh;BGD;6,562316322
2008;Bangladesh;BGD;8,940611606
2009;Bangladesh;BGD;10,520653006
2010;Bangladesh;BGD;10,850211617
2011;Bangladesh;BGD;12,071073184
2012;Bangladesh;BGD;14,119627034
2013;Bangladesh;BGD;13,866954019
2014;Bangladesh;BGD;14,987531479
2015;Bangladesh;BGD;15,295536095
2016;Bangladesh;BGD;13,574285886
2017;Bangladesh;BGD;13,501933033
2018;Bangladesh;BGD;15,566241930
2019;Bangladesh;BGD;18,363859531
2020;Bangladesh;BGD;21,751646479
2021;Bangladesh;BGD;22,205503377
2022;Bangladesh;BGD;21,505473781
2023;Bangladesh;BGD;22,070041063
2024;Bangladesh;BGD;27,524564109
1975;India;IND;0,429883697
1976;India;IND;0,642343811
1977;India;IND;0,934415894
1978;India;IND;1,164776733
1979;India;IND;1,437018555
1980;India;IND;2,756975586
1981;India;IND;2,301415527
1982;India;IND;2,617671387
1983;India;IND;2,660081543
1984;India;IND;2,294750488
1985;India;IND;2,469209229
1986;India;IND;2,239903076
1987;India;IND;2,665414307
1988;India;IND;2,315296143
1989;India;IND;2,613844482
1990;India;IND;2,38373999
1991;India;IND;3,289109375
1992;India;IND;2,897425537
1993;India;IND;3,522788086
1994;India;IND;5,856694336
1995;India;IND;6,222996282
1996;India;IND;8,765693607
1997;India;IND;10,330965043
1998;India;IND;9,479300350
1999;India;IND;11,124280843
2000;India;IND;12,883465957
2001;India;IND;14,273018778
2002;India;IND;15,735736286
2003;India;IND;20,999150983
2004;India;IND;18,750377107
2005;India;IND;22,125089480
2006;India;IND;28,333642280
2007;India;IND;37,216755275
2008;India;IND;49,977276916
2009;India;IND;49,203912009
2010;India;IND;53,479960083
2011;India;IND;62,499075445
2012;India;IND;68,820517838
2013;India;IND;69,970360847
2014;India;IND;70,388642797
2015;India;IND;68,909693353
2016;India;IND;62,744364090
2017;India;IND;68,967175500
2018;India;IND;78,790170929
2019;India;IND;83,332078002
2020;India;IND;83,149172934
2021;India;IND;89,375152218
2022;India;IND;111,221774722
2023;India;IND;119,526055008
2024;India;IND;137,674533896
1975;Sri Lanka;LKA;0,008562662
1976;Sri Lanka;LKA;0,012957680
1977;Sri Lanka;LKA;0,018482927
1978;Sri Lanka;LKA;0,039031033
1979;Sri Lanka;LKA;0,060065426
1980;Sri Lanka;LKA;0,151700653
1981;Sri Lanka;LKA;0,229559403
1982;Sri Lanka;LKA;0,289306793
1983;Sri Lanka;LKA;0,294477051
1984;Sri Lanka;LKA;0,300945313
1985;Sri Lanka;LKA;0,291652252
1986;Sri Lanka;LKA;0,325967743
1987;Sri Lanka;LKA;0,350058441
1988;Sri Lanka;LKA;0,357666870
1989;Sri Lanka;LKA;0,358011932
1990;Sri Lanka;LKA;0,400775818
1991;Sri Lanka;LKA;0,442093994
1992;Sri Lanka;LKA;0,547805054
1993;Sri Lanka;LKA;0,632381958
1994;Sri Lanka;LKA;0,715192444
1995;Sri Lanka;LKA;0,800969018
1996;Sri Lanka;LKA;0,843173016
1997;Sri Lanka;LKA;0,933731256
1998;Sri Lanka;LKA;1,013337090
1999;Sri Lanka;LKA;1,064301778
2000;Sri Lanka;LKA;1,154285559
2001;Sri Lanka;LKA;1,16981
2002;Sri Lanka;LKA;1,29607
2003;Sri Lanka;LKA;1,42347
2004;Sri Lanka;LKA;1,57378
2005;Sri Lanka;LKA;1,975536
2006;Sri Lanka;LKA;2,16677
2007;Sri Lanka;LKA;2,5073
2008;Sri Lanka;LKA;2,9245
2009;Sri Lanka;LKA;3,3367
2010;Sri Lanka;LKA;4,12313
2011;Sri Lanka;LKA;5,15301
2012;Sri Lanka;LKA;5,999552324
2013;Sri Lanka;LKA;6,422186627
2014;Sri Lanka;LKA;7,036326551
2015;Sri Lanka;LKA;6,999731475
2016;Sri Lanka;LKA;7,261851525
2017;Sri Lanka;LKA;7,190296015
2018;Sri Lanka;LKA;7,043039552
2019;Sri Lanka;LKA;6,748702044
2020;Sri Lanka;LKA;7,140414362
2021;Sri Lanka;LKA;5,521864471
2022;Sri Lanka;LKA;3,819373807
2023;Sri Lanka;LKA;6,022594533
2024;Sri Lanka;LKA;6,721617582
1993;Nepal;NPL;0,054825104
1994;Nepal;NPL;0,050118519
1995;Nepal;NPL;0,056822667
1996;Nepal;NPL;0,044160126
1997;Nepal;NPL;0,049458058
1998;Nepal;NPL;0,067504903
1999;Nepal;NPL;0,083462780
2000;Nepal;NPL;0,111498192
2001;Nepal;NPL;0,146985152
2002;Nepal;NPL;0,678485892
2003;Nepal;NPL;0,771072126
2004;Nepal;NPL;0,822608955
2005;Nepal;NPL;1,211823253
2006;Nepal;NPL;1,453231426
2007;Nepal;NPL;1,733858518
2008;Nepal;NPL;2,727140487
2009;Nepal;NPL;2,983336877
2010;Nepal;NPL;3,464092682
2011;Nepal;NPL;4,216894010
2012;Nepal;NPL;4,792506200
2013;Nepal;NPL;5,583702128
2014;Nepal;NPL;5,888650155
2015;Nepal;NPL;6,729935671
2016;Nepal;NPL;6,611838544
2017;Nepal;NPL;6,928133767
2018;Nepal;NPL;8,286629516
2019;Nepal;NPL;8,244465869
2020;Nepal;NPL;8,107744662
2021;Nepal;NPL;8,225960575
2022;Nepal;NPL;9,411659366
2023;Nepal;NPL;10,764412528
2024;Nepal;NPL;11,254463372
1976;Pakistan;PAK;0,411736938
1977;Pakistan;PAK;0,872086609
1978;Pakistan;PAK;1,309296997
1979;Pakistan;PAK;1,501616821
1980;Pakistan;PAK;2,047622437
1981;Pakistan;PAK;2,067108154
1982;Pakistan;PAK;2,588121582
1983;Pakistan;PAK;2,94023999
1984;Pakistan;PAK;2,580805664
1985;Pakistan;PAK;2,537092529
1986;Pakistan;PAK;2,446387207
1987;Pakistan;PAK;2,180528076
1988;Pakistan;PAK;1,871958252
1989;Pakistan;PAK;2,017306152
1990;Pakistan;PAK;2,006266968
1991;Pakistan;PAK;1,548698364
1992;Pakistan;PAK;1,573619019
1993;Pakistan;PAK;1,4462771
1994;Pakistan;PAK;1,7492771
1995;Pakistan;PAK;1,712219436
1996;Pakistan;PAK;1,284050241
1997;Pakistan;PAK;1,707282925
1998;Pakistan;PAK;1,172
1999;Pakistan;PAK;0,996
2000;Pakistan;PAK;1,075
2001;Pakistan;PAK;1,461
2002;Pakistan;PAK;3,554
2003;Pakistan;PAK;3,964
2004;Pakistan;PAK;3,945
2005;Pakistan;PAK;4,28
2006;Pakistan;PAK;5,121
2007;Pakistan;PAK;5,998
2008;Pakistan;PAK;7,039
2009;Pakistan;PAK;8,717
2010;Pakistan;PAK;9,69
2011;Pakistan;PAK;12,263
2012;Pakistan;PAK;14,007
2013;Pakistan;PAK;14,629
2014;Pakistan;PAK;17,244
2015;Pakistan;PAK;19,306
2016;Pakistan;PAK;19,819
2017;Pakistan;PAK;19,856
2018;Pakistan;PAK;21,193
2019;Pakistan;PAK;22,252
2020;Pakistan;PAK;26,089
2021;Pakistan;PAK;31,312
2022;Pakistan;PAK;30,176
2023;Pakistan;PAK;26,558
2024;Pakistan;PAK;34,914
